CVEGEO,CVE_ENT,CVE_MUN,NOMGEO
21001,21,001,Acajete
21002,21,002,Acateno
21003,21,003,Acatlán
21004,21,004,Acatzingo
21005,21,005,Acteopan
21006,21,006,Ahuacatlán
21007,21,007,Ahuatlán
21008,21,008,Ahuazotepec
21009,21,009,Ahuehuetitla
21010,21,010,Ajalpan
21011,21,011,Albino Zertuche
21012,21,012,Aljojuca
21013,21,013,Altepexi
21014,21,014,Amixtlán
21015,21,015,Amozoc
21016,21,016,Aquixtla
21017,21,017,Atempan
21018,21,018,Atexcal
21019,21,019,Atlixco
21020,21,020,Atoyatempan
21021,21,021,Atzala
21022,21,022,Atzitzihuacán
21023,21,023,Atzitzintla
21024,21,024,Axutla
21025,21,025,Ayotoxco de Guerrero
21026,21,026,Calpan
21027,21,027,Caltepec
21028,21,028,Camocuautla
21029,21,029,Caxhuacan
21030,21,030,Coatepec
21031,21,031,Coatzingo
21032,21,032,Cohetzala
21033,21,033,Cohuecan
21034,21,034,Coronango
21035,21,035,Coxcatlán
21036,21,036,Coyomeapan
21037,21,037,Coyotepec
21038,21,038,Cuapiaxtla de Madero
21039,21,039,Cuautempan
21040,21,040,Cuautinchán
21041,21,041,Cuautlancingo
21042,21,042,Cuayuca de Andrade
21043,21,043,Cuetzalan del Progreso
21044,21,044,Cuyoaco
21045,21,045,Chalchicomula de Sesma
21046,21,046,Chapulco
21047,21,047,Chiautla
21048,21,048,Chiautzingo
21049,21,049,Chiconcuautla
21050,21,050,Chichiquila
21051,21,051,Chietla
21052,21,052,Chigmecatitlán
21053,21,053,Chignahuapan
21054,21,054,Chignautla
21055,21,055,Chila
21056,21,056,Chila de la Sal
21057,21,057,Honey
21058,21,058,Chilchotla
21059,21,059,Chinantla
21060,21,060,Domingo Arenas
21061,21,061,Eloxochitlán
21062,21,062,Epatlán
21063,21,063,Esperanza
21064,21,064,Francisco Z. Mena
21065,21,065,General Felipe Ángeles
21066,21,066,Guadalupe
21067,21,067,Guadalupe Victoria
21068,21,068,Hermenegildo Galeana
21069,21,069,Huaquechula
21070,21,070,Huatlatlauca
21071,21,071,Huauchinango
21072,21,072,Huehuetla
21073,21,073,Huehuetlán el Chico
21074,21,074,Huejotzingo
21075,21,075,Hueyapan
21076,21,076,Hueytamalco
21077,21,077,Hueytlalpan
21078,21,078,Huitzilán de Serdán
21079,21,079,Huitziltepec
21080,21,080,Atlequizayan
21081,21,081,Ixcamilpa de Guerrero
21082,21,082,Ixcaquixtla
21083,21,083,Ixtacamaxtitlán
21084,21,084,Ixtepec
21085,21,085,Izúcar de Matamoros
21086,21,086,Jalpan
21087,21,087,Jolalpan
21088,21,088,Jonotla
21089,21,089,Jopala
21090,21,090,Juan C. Bonilla
21091,21,091,Juan Galindo
21092,21,092,Juan N. Méndez
21093,21,093,Lafragua
21094,21,094,Libres
21095,21,095,La Magdalena Tlatlauquitepec
21096,21,096,Mazapiltepec de Juárez
21097,21,097,Mixtla
21098,21,098,Molcaxac
21099,21,099,Cañada Morelos
21100,21,100,Naupan
21101,21,101,Nauzontla
21102,21,102,Nealtican
21103,21,103,Nicolás Bravo
21104,21,104,Nopalucan
21105,21,105,Ocotepec
21106,21,106,Ocoyucan
21107,21,107,Olintla
21108,21,108,Oriental
21109,21,109,Pahuatlán
21110,21,110,Palmar de Bravo
21111,21,111,Pantepec
21112,21,112,Petlalcingo
21113,21,113,Piaxtla
21114,21,114,Puebla
21115,21,115,Quecholac
21116,21,116,Quimixtlán
21117,21,117,Rafael Lara Grajales
21118,21,118,Los Reyes de Juárez
21119,21,119,San Andrés Cholula
21120,21,120,San Antonio Cañada
21121,21,121,San Diego la Mesa Tochimiltzingo
21122,21,122,San Felipe Teotlalcingo
21123,21,123,San Felipe Tepatlán
21124,21,124,San Gabriel Chilac
21125,21,125,San Gregorio Atzompa
21126,21,126,San Jerónimo Tecuanipan
21127,21,127,San Jerónimo Xayacatlán
21128,21,128,San José Chiapa
21129,21,129,San José Miahuatlán
21130,21,130,San Juan Atenco
21131,21,131,San Juan Atzompa
21132,21,132,San Martín Texmelucan
21133,21,133,San Martín Totoltepec
21134,21,134,San Matías Tlalancaleca
21135,21,135,San Miguel Ixitlán
21136,21,136,San Miguel Xoxtla
21137,21,137,San Nicolás Buenos Aires
21138,21,138,San Nicolás de los Ranchos
21139,21,139,San Pablo Anicano
21140,21,140,San Pedro Cholula
21141,21,141,San Pedro Yeloixtlahuaca
21142,21,142,San Salvador el Seco
21143,21,143,San Salvador el Verde
21144,21,144,San Salvador Huixcolotla
21145,21,145,San Sebastián Tlacotepec
21146,21,146,Santa Catarina Tlaltempan
21147,21,147,Santa Inés Ahuatempan
21148,21,148,Santa Isabel Cholula
21149,21,149,Santiago Miahuatlán
21150,21,150,Huehuetlán el Grande
21151,21,151,Santo Tomás Hueyotlipan
21152,21,152,Soltepec
21153,21,153,Tecali de Herrera
21154,21,154,Tecamachalco
21155,21,155,Tecomatlán
21156,21,156,Tehuacán
21157,21,157,Tehuitzingo
21158,21,158,Tenampulco
21159,21,159,Teopantlán
21160,21,160,Teotlalco
21161,21,161,Tepanco de López
21162,21,162,Tepango de Rodríguez
21163,21,163,Tepatlaxco de Hidalgo
21164,21,164,Tepeaca
21165,21,165,Tepemaxalco
21166,21,166,Tepeojuma
21167,21,167,Tepetzintla
21168,21,168,Tepexco
21169,21,169,Tepexi de Rodríguez
21170,21,170,Tepeyahualco
21171,21,171,Tepeyahualco de Cuauhtémoc
21172,21,172,Tetela de Ocampo
21173,21,173,Teteles de Ávila Castillo
21174,21,174,Teziutlán
21175,21,175,Tianguismanalco
21176,21,176,Tilapa
21177,21,177,Tlacotepec de Benito Juárez
21178,21,178,Tlacuilotepec
21179,21,179,Tlachichuca
21180,21,180,Tlahuapan
21181,21,181,Tlaltenango
21182,21,182,Tlanepantla
21183,21,183,Tlaola
21184,21,184,Tlapacoya
21185,21,185,Tlapanalá
21186,21,186,Tlatlauquitepec
21187,21,187,Tlaxco
21188,21,188,Tochimilco
21189,21,189,Tochtepec
21190,21,190,Totoltepec de Guerrero
21191,21,191,Tulcingo
21192,21,192,Tuzamapan de Galeana
21193,21,193,Tzicatlacoyan
21194,21,194,Venustiano Carranza
21195,21,195,Vicente Guerrero
21196,21,196,Xayacatlán de Bravo
21197,21,197,Xicotepec
21198,21,198,Xicotlán
21199,21,199,Xiutetelco
21200,21,200,Xochiapulco
21201,21,201,Xochiltepec
21202,21,202,Xochitlán de Vicente Suárez
21203,21,203,Xochitlán Todos Santos
21204,21,204,Yaonáhuac
21205,21,205,Yehualtepec
21206,21,206,Zacapala
21207,21,207,Zacapoaxtla
21208,21,208,Zacatlán
21209,21,209,Zapotitlán
21210,21,210,Zapotitlán de Méndez
21211,21,211,Zaragoza
21212,21,212,Zautla
21213,21,213,Zihuateutla
21214,21,214,Zinacatepec
21215,21,215,Zongozotla
21216,21,216,Zoquiapan
21217,21,217,Zoquitlán
